City_or_Regency,Vaccinated,Fully_Vaccinated,Total,Date,URL,
KAB PACITAN,2357,32,2389,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB SAMPANG,1821,141,1962,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB MALANG,7512,69,7581,2/13/2021,https://twitter.com/KominfoJatim/status/1360693645301583873/photo/,
KAB TULUNGAGUNG,5320,2474,7794,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB PASURUAN,4451,1175,5626,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KOTA MOJOKERTO,2699,818,3517,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB SIDOARJO,12267,4089,16356,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB GRESIK,6147,3581,9728,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB MOJOKERTO,3761,1058,4819,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB PONOROGO,3540,1839,5379,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB NGANJUK,3460,1763,5223,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB LAMONGAN,5339,2775,8114,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB BONDOWOSO,2680,1487,4167,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB JEMBER,6637,3371,10008,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KOTA BATU,1559,256,1815,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB PACITAN,2357,32,2389,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KOTA KEDIRI,4374,426,4800,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB JOMBANG,5146,3202,8348,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KOTA PASURUAN,1416,245,1661,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB PROBOLINGGO,2944,847,3791,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB BLITAR,2878,1052,3930,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB BOJONEGORO,4345,2392,6737,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB KEDIRI,5483,1941,7424,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KOTA MADIUN,3585,1248,4833,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB NGAWI,3101,1054,4155,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB LUMAJANG,3430,1237,4667,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KOTA BLITAR,2475,124,2599,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB TRENGGALEK,3021,1107,4128,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB MALANG,7512,69,7581,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB SITUBONDO,2584,336,2920,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KOTA PROBOLINGGO,1667,523,2190,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB MAGETAN,2489,650,3139,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB BANGKALAN,2900,449,3349,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB BANYUWANGI,5161,2612,7773,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB SAMPANG,1821,170,1991,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KOTA SURABAYA,33432,22224,55656,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB MADIUN,2209,598,2807,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB TUBAN,2884,412,3296,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB SUMENEP,2868,771,3639,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB PAMEKASAN,2309,738,3047,2/14/2021,https://twitter.com/KominfoJatim/status/1360957417463275523/photo/,
KAB TULUNGAGUNG,5320,3974,9294,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KOTA BATU,1559,1315,2874,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB JEMBER,6638,5334,11972,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB SIDOARJO,9315,6625,15940,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB BOJONEGORO,4380,3358,7738,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB LAMONGAN,5339,4031,9370,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB JOMBANG,5155,3888,9043,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB BLITAR,2895,2134,5029,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB PONOROGO,3540,2564,6104,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB NGANJUK,3460,2481,5941,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB BONDOWOSO,2680,1892,4572,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KOTA SURABAYA,34316,27489,61805,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB GRESIK,6147,4054,10201,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB NGAWI,3336,2001,5337,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KOTA KEDIRI,4377,2883,7260,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB LUMAJANG,3477,2375,5852,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KOTA MADIUN,3585,2354,5939,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KOTA PASURUAN,1416,884,2300,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB PROBOLINGGO,2944,1839,4783,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KOTA MOJOKERTO,2721,1544,4265,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB MADIUN,2307,1570,3877,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB MOJOKERTO,3760,2107,5867,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB KEDIRI,5515,3088,8603,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB MAGETAN,2601,1531,4132,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB TRENGGALEK,3108,1775,4883,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB PAMEKASAN,2787,1530,4317,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KOTA PROBOLINGGO,1712,1006,2718,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KOTA MALANG,12322,5753,18075,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB PASURUAN,4451,1997,6448,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB BANYUWANGI,5252,3102,8354,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KOTA BLITAR,2483,1269,3752,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB BANGKALAN,3156,1474,4630,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB MALANG,7757,3591,11348,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB SUMENEP,3038,1464,4502,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB TUBAN,3127,1302,4429,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB SITUBONDO,2801,935,3736,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB SAMPANG,1912,616,2528,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB PACITAN,2357,511,2868,2/16/2021,https://twitter.com/KominfoJatim/status/1361784701866840064/photo/,
KAB NGANJUK,3460,3368,6828,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KOTA BATU,1559,1493,3052,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB TULUNGAGUNG,5320,4177,9497,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB LAMONGAN,5339,4532,9871,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB JEMBER,6639,5587,12226,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB SIDOARJO,9328,7085,16413,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB BOJONEGORO,4380,3549,7929,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KOTA MADIUN,3590,2962,6552,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB JOMBANG,5155,4032,9187,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB PONOROGO,3540,2719,6259,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB BLITAR,2895,2222,5117,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KOTA KEDIRI,4378,3302,7680,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB BONDOWOSO,2680,1977,4657,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KOTA SURABAYA,34869,28356,63225,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB MADIUN,2317,1850,4167,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB NGAWI,3354,2083,5437,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB GRESIK,6147,4168,10315,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB PROBOLINGGO,2944,2032,4976,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KOTA MOJOKERTO,2707,1709,4416,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB MOJOKERTO,3760,2484,6244,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB LUMAJANG,3479,2396,5875,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KOTA PASURUAN,1416,936,2352,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KOTA BLITAR,2505,1722,4227,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB BANYUWANGI,5346,3948,9294,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB MAGETAN,2623,1719,4342,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB TRENGGALEK,3126,2007,5133,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB KEDIRI,5528,3267,8795,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB TUBAN,3163,1917,5080,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB MALANG,7757,4827,12584,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB PAMEKASAN,2842,1642,4484,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KOTA PROBOLINGGO,1740,1070,2810,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB PASURUAN,4451,2237,6688,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KOTA MALANG,12322,6208,18530,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB BANGKALAN,3160,1622,4782,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB SUMENEP,3096,1580,4676,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB SITUBONDO,2848,1011,3859,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB SAMPANG,1939,709,2648,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB PACITAN,2357,726,3083,2/17/2021,https://twitter.com/KominfoJatim/status/1362090178311909376/photo/,
KAB MOJOKERTO,3760,3708,7468,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KOTA BATU,1561,1546,3107,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB NGANJUK,3460,3407,6867,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB JEMBER,6639,6527,13166,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB TULUNGAGUNG,5320,4401,9721,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB GRESIK,6269,5693,11962,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB JOMBANG,5155,4951,10106,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB SIDOARJO,9338,8117,17455,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KOTA KEDIRI,4378,4072,8450,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KOTA MOJOKERTO,2709,2379,5088,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB LAMONGAN,5339,4869,10208,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB LUMAJANG,3492,3250,6742,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB BONDOWOSO,2680,2396,5076,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KOTA MADIUN,3603,3261,6864,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB BLITAR,2895,2530,5425,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB BOJONEGORO,4280,3769,8049,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB BANYUWANGI,5569,4909,10478,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB PONOROGO,3540,2951,6491,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB MADIUN,2425,2024,4449,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB PROBOLINGGO,2960,2424,5384,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KOTA SURABAYA,35567,30819,66386,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KOTA BLITAR,2510,2068,4578,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB NGAWI,3386,2248,5634,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB MALANG,7759,6183,13942,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB TUBAN,3163,2425,5588,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB MAGETAN,2669,2043,4712,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB PASURUAN,4451,3102,7553,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KOTA PASURUAN,1416,1051,2467,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB TRENGGALEK,3204,2331,5535,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KOTA MALANG,12322,8631,20953,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KOTA PROBOLINGGO,1792,1248,3040,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB KEDIRI,5530,3711,9241,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB SITUBONDO,2892,1648,4540,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB BANGKALAN,3160,2000,5160,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB PAMEKASAN,2842,1786,4628,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB SUMENEP,3170,1996,5166,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB SAMPANG,1952,1112,3064,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KAB PACITAN,2358,1112,3470,2/20/2021,https://twitter.com/KominfoJatim/status/1363141398455717897/photo/,
KOTA SURABAYA,35628,30819,66447,2/21/2021,https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KOTA BLITAR,2510,2068,4578,2/21/2021,https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB NGAWI,3386,2248,5634,2/21/2021,https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB MALANG,7759,6183,13942,2/21/2021,https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB TUBAN,3163,2425,5588,2/21/2021,https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB MAGETAN,2669,2043,4712,2/21/2021,https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB PASURUAN,4451,3102,7553,2/21/2021,https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KOTA PASURUAN,1416,1051,2467,2/21/2021,https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB TRENGGALEK,3204,2331,5535,2/21/2021,https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KOTA MALANG,12322,8631,20953,2/21/2021,https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KOTA PROBOLINGGO,1792,1248,3040,2/21/2021,https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB KEDIRI,5530,3711,9241,2/21/2021,https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB SITUBONDO,2892,1648,4540,2/21/2021,https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB BANGKALAN,3160,2000,5160,2/21/2021,https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB PAMEKASAN,2842,1786,4628,2/21/2021,https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB SUMENEP,3181,2056,5237,2/21/2021,https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB SAMPANG,1957,1113,3070,2/21/2021,https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB PACITAN,2358,1112,3470,2/21/2021,https://twitter.com/KominfoJatim/status/1363513944124530691/photo/,
KAB MOJOKERTO,3760,3717,7477,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KOTA BATU,1561,1546,3107,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB JEMBER,6639,6542,13181,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB NGANJUK,3460,3407,6867,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB TULUNGAGUNG,5320,4404,9724,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB JOMBANG,5155,5001,10156,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB GRESIK,6267,5717,11984,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB SIDOARJO,9366,8240,17606,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KOTA KEDIRI,4378,4139,8517,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB PONOROGO,3540,3331,6871,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KOTA MOJOKERTO,2724,2392,5116,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB LAMONGAN,5339,4983,10322,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB PROBOLINGGO,2960,2751,5711,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB BONDOWOSO,2680,2473,5153,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KOTA PASURUAN,1416,1299,2715,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB LUMAJANG,3518,3248,6766,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KOTA MADIUN,3605,3340,6945,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB BLITAR,2895,2603,5498,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB BANYUWANGI,5595,4967,10562,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB BOJONEGORO,4380,3814,8194,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB MADIUN,2425,2051,4476,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KOTA BLITAR,2516,2190,4706,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB PASURUAN,4451,3514,7965,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB NGAWI,3391,2417,5808,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KOTA SURABAYA,35715,30920,66635,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB MAGETAN,2678,2160,4838,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB MALANG,7773,6376,14149,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB TUBAN ,3168,2444,5612,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB TRENGGALEK,3205,2372,5577,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KOTA MALANG,12322,8811,21133,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB KEDIRI,5538,4072,9610,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KOTA PROBOLINGGO,1807,1297,3104,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB SUMENEP,3196,2300,5496,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB SITUBONDO,2905,1723,4628,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB BANGKALAN,3160,2093,5253,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB PAMEKASAN,2842,1827,4669,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB SAMPANG,1958,1243,3201,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB PACITAN,2358,1398,3756,2/22/2021,https://twitter.com/KominfoJatim/status/1364106978994216961/photo,
KAB BOJONEGORO,4380,3814,8194,2/23/2021,https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB NGAWI,3391,2545,5936,2/23/2021,https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB MADIUN,2426,2065,4491,2/23/2021,https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KOTA BLITAR,2519,2204,4723,2/23/2021,https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB MAGETAN,2678,2269,4947,2/23/2021,https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KOTA PROBOLINGGO,1810,1479,3289,2/23/2021,https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KOTA SURABAYA,35812,31061,66873,2/23/2021,https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB MALANG,7798,6574,14372,2/23/2021,https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
KAB TUBAN,3170,2475,5645,2/23/2021,https://twitter.com/KominfoJatim/status/1364250497788485632/photo/,
